AN_BASE,CD_PROGRAMA_IES,NM_PROGRAMA_IES,NM_PROGRAMA_IDIOMA,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,DS_ORGANIZACAO_ACADEMICA,NM_GRANDE_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,NM_AREA_AVALIACAO,NM_GRAU_PROGRAMA,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,ANO_INICIO_PROGRAMA,NM_MODALIDADE_PROGRAMA,NM_REGIAO,SG_ENTIDADE_ENSINO_REDE,IN_REDE
2015,32001010040P2,CIÊNCIAS DO ESPORTE,SPORT SCIENCES,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS DA SAÚDE,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1989,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010041P9,PSICOLOGIA,PSICOLOGY POS-GRADUATION PROGRAM,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1989,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010042P5,CIÊNCIA ANIMAL,VETERINARY SCIENCES,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,6,1989,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010043P1,HISTÓRIA,POST-GRADUATION PROGRAM IN HISTORY OF UFMG,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,6,1990,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010044P8,ENGENHARIA QUÍMICA,CHEMICAL ENGINEERING,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA QUÍMICA,ENGENHARIAS II,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,3,1992,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010045P4,SAÚDE PÚBLICA,SAÚDE PÚBLICA,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,6,1994,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010046P0,ENFERMAGEM,POSTGRADUATE PROGRAM IN NURSING,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1994,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010049P0,ARQUITETURA E URBANISMO,ARCHITECTURE AND URBANISM,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,ARQUITETURA E URBANISMO,ARQUITETURA E URBANISMO,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1995,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010050P8,ENGENHARIA DE PRODUÇÃO,POSTGRADUATE PROGRAM IN PRODUCTION ENGINEERING,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA DE PRODUÇÃO,ENGENHARIAS III,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,4,1995,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010051P4,ARTES,FINE ARTS POST GRADUATED PROGRAM,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",ARTES,ARTES / MÚSICA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1995,ACADÊMICO,SUDESTE,NA,NÃO
2015,28005015009P1,ECOLOGIA HUMANA E GESTÃO SOCIOAMBIENTAL,HUMAN ECOLOGY AND ENVIRONMENTAL MANAGEMENT,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,MESTRADO,BA,JUAZEIRO,3,2010,ACADÊMICO,NORDESTE,NA,NÃO
2015,28005015010P0,BIODIVERSIDADE VEGETAL,PLANT BIODIVERSITY PROGRAM,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS BIOLÓGICAS,BOTÂNICA,BIODIVERSIDADE,MESTRADO,BA,SALVADOR,3,2010,ACADÊMICO,NORDESTE,NA,NÃO
2015,28005015011P6,GESTÃO E TECNOLOGIAS APLICADAS À EDUCAÇÃO,MANAGEMENT AND TECHNOLOGIES APPLIED TO EDUCATION,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,MESTRADO PROFISSIONAL,BA,SALVADOR,3,2011,PROFISSIONAL,NORDESTE,NA,NÃO
2015,28005015012P2,EDUCAÇÃO DE JOVENS E ADULTOS,PROGRAM OF POSTGRADUATE EDUCATION FOR YOUTH AND ADULTS,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,MESTRADO PROFISSIONAL,BA,SALVADOR,3,2013,PROFISSIONAL,NORDESTE,NA,NÃO
2015,28005015013P9,"EDUCAÇÃO, CULTURA E TERRITÓRIOS SEMIÁRIDOS","EDUCATION, CULTURE AND SEMI-ARID TERRITORIES",UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,ENSINO,ENSINO,MESTRADO,BA,JUAZEIRO,3,2014,ACADÊMICO,NORDESTE,NA,NÃO
2015,28005015014P5,EUCAÇÃO E DIVERSIDADE,PROFESSIONAL MASTER'S IN EDUCATION AND DIVERSITY,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,MESTRADO PROFISSIONAL,BA,JACOBINA,3,2014,PROFISSIONAL,NORDESTE,NA,NÃO
2015,28006011001P7,AGRONOMIA (FITOTECNIA),AGRONOMY - PHYTOTECHNY,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,AGRONOMIA,CIÊNCIAS AGRÁRIAS I,MESTRADO/DOUTORADO,BA,VITÓRIA DA CONQUISTA,4,2002,ACADÊMICO,NORDESTE,NA,NÃO
2015,28006011002P3,ZOOTECNIA,POS GRADUATION IN ANIMAL SCIENCE,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,ZOOTECNIA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO/DOUTORADO,BA,ITAPETINGA,4,2003,ACADÊMICO,NORDESTE,NA,NÃO
2015,28006011003P0,QUIMICA,GRADUATE PROGRAM IN CHEMISTRY,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,MESTRADO,BA,JEQUIÉ,3,2005,ACADÊMICO,NORDESTE,NA,NÃO
2015,33002010107P9,FILOLOGIA E LÍNGUA PORTUGUESA,PHILOLOGY AND PORTUGUESE LANGUAGE,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,5,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010108P5,"LETRAS (EST. LING., LITERÁRIOS E TRADUTOLÓGICOS EM FRANCÊS)","LINGUISTICS, LITERATURE AND TRANSLATION STUDIES IN FRENCH",USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,4,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010109P1,ESTUDOS LINGUÍSTICOS E LITERÁRIOS EM INGLÊS,POSTGRADUATE PROGRAM IN ENGLISH LANGUAGE AND LITERARY STUDIES,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,4,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010110P0,LITERATURA BRASILEIRA,BRAZILIAN LITERATURE,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,6,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010111P6,LETRAS (LITERATURA PORTUGUESA),LITERATURE PORTUGUESE,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,4,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010112P2,LETRAS (TEORIA LITERÁRIA E LITERATURA COMPARADA),(LETTERS) LITERARY THEORY AND COMPARATIVE LITERATURE,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,5,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010113P9,LETRAS (LÍNGUA ESPANHOLA E LIT. ESPANHOLA E HISPANO-AMERIC.),SPANISH LANGUAGE AND SPANISH & HISPANIC-AMERICAN LITERATURES,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,4,1977,ACADÊMICO,SUDESTE,NA,NÃO
2015,28006011011P2,LINGUÍSTICA,LINGUISTIC,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LINGÜÍSTICA,LETRAS / LINGUÍSTICA,MESTRADO,BA,VITÓRIA DA CONQUISTA,3,2011,ACADÊMICO,NORDESTE,NA,NÃO
2015,28006011012P9,CIÊNCIAS AMBIENTAIS,AMBIENTAL SCIENCES,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,MESTRADO,BA,ITAPETINGA,3,2011,ACADÊMICO,NORDESTE,NA,NÃO
2015,28006011013P5,EDUCAÇÃO,GRADUATE PROGRAM IN EDUCATION,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,MESTRADO,BA,VITÓRIA DA CONQUISTA,3,2013,ACADÊMICO,NORDESTE,NA,NÃO
2015,28006011014P1,CIÊNCIAS FLORESTAIS,FOREST SCIENCE,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,CIÊNCIAS AGRÁRIAS I,MESTRADO,BA,VITÓRIA DA CONQUISTA,3,2014,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018032P1,ENGENHARIA ELÉTRICA,GRADUATE PROGRAM IN ELECTRICAL ENGINEERING (UFC),UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA ELÉTRICA,ENGENHARIAS IV,MESTRADO/DOUTORADO,CE,FORTALEZA,4,1999,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018033P8,HISTÓRIA,POST-GRADUATE PROGRAM IN HISTORY,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,MESTRADO/DOUTORADO,CE,FORTALEZA,4,2000,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018034P4,ENGENHARIA E CIÊNCIA DE MATERIAIS,GRADUATE PROGRAM IN MATERIALS SCIENCE AND ENGINEERING,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,MATERIAIS,MATERIAIS,MESTRADO/DOUTORADO,CE,FORTALEZA,4,1999,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018035P0,ENGENHARIA QUÍMICA,GRADUATE PROGRAM IN CHEMICAL ENGINEERING,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA QUÍMICA,ENGENHARIAS II,MESTRADO/DOUTORADO,CE,FORTALEZA,5,2001,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018036P7,ENGENHARIA DE TRANSPORTES,TRANSPORTATION ENGINEERING,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA DE TRANSPORTES,ENGENHARIAS I,MESTRADO/DOUTORADO,CE,FORTALEZA,4,2000,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018037P3,FILOSOFIA,PHILOSOPHY,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,MESTRADO/DOUTORADO,CE,FORTALEZA,4,1999,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018040P4,CIÊNCIAS MARINHAS TROPICAIS,TROPICAL MARINE SCIENCES,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,MESTRADO/DOUTORADO,CE,FORTALEZA,4,2001,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018042P7,MICROBIOLOGIA MÉDICA,POSTGRADUATE PROGRAM IN MEDICAL MICROBIOLOGY,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS BIOLÓGICAS,MICROBIOLOGIA,CIÊNCIAS BIOLÓGICAS III,MESTRADO/DOUTORADO,CE,FORTALEZA,5,2002,ACADÊMICO,NORDESTE,NA,NÃO
2015,22001018043P3,PSICOLOGIA,POSTGRADUATE PROGRAM IN PSYCHOLOGY,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,MESTRADO/DOUTORADO,CE,FORTALEZA,4,2003,ACADÊMICO,NORDESTE,NA,NÃO
2015,33004056088P9,MÍDIA E TECNOLOGIA,MEDIA AND TECHNOLOGY,UNESP/BAU,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BAURU,ESTADUAL,PÚBLICO,NÃO INFORMADO,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,SP,BAURU,4,2008,PROFISSIONAL,SUDESTE,NA,NÃO
2015,33004056089P5,ENGENHARIA CIVIL E AMBIENTAL,CIVIL AND ENVIRONMENTAL ENGINEERING,UNESP/BAU,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BAURU,ESTADUAL,PÚBLICO,NÃO INFORMADO,ENGENHARIAS,ENGENHARIA CIVIL,ENGENHARIAS I,MESTRADO/DOUTORADO,SP,BAURU,4,2009,ACADÊMICO,SUDESTE,NA,NÃO
2015,33004056090P3,ARQUITETURA E URBANISMO,ARCHITECTURE AND URBANISM,UNESP/BAU,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BAURU,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS SOCIAIS APLICADAS,ARQUITETURA E URBANISMO,ARQUITETURA E URBANISMO,MESTRADO,SP,BAURU,3,2013,ACADÊMICO,SUDESTE,NA,NÃO
2015,33004056091P0,DOCÊNCIA PARA A EDUCAÇÃO BÁSICA,BASIC EDUCATION TEACHING,UNESP/BAU,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BAURU,ESTADUAL,PÚBLICO,NÃO INFORMADO,MULTIDISCIPLINAR,ENSINO,ENSINO,MESTRADO PROFISSIONAL,SP,BAURU,3,2014,PROFISSIONAL,SUDESTE,NA,NÃO
2015,33004064006P8,BASES GERAIS DA CIRURGIA,GENERAL BASES OF SURGERY,UNESP/BOT,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BOTUCATU,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS DA SAÚDE,MEDICINA,MEDICINA III,MESTRADO/DOUTORADO,SP,BOTUCATU,4,1975,ACADÊMICO,SUDESTE,NA,NÃO
2015,33004064012P8,CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),BIOLOGICAL SCIENCES (ZOOLOGY),UNESP/BOT,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BOTUCATU,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS BIOLÓGICAS,ZOOLOGIA,BIODIVERSIDADE,MESTRADO/DOUTORADO,SP,BOTUCATU,5,1980,ACADÊMICO,SUDESTE,NA,NÃO
2015,33004064014P0,AGRONOMIA (HORTICULTURA),HORTICULTURE,UNESP/BOT,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BOTUCATU,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS AGRÁRIAS,AGRONOMIA,CIÊNCIAS AGRÁRIAS I,MESTRADO/DOUTORADO,SP,BOTUCATU,5,1980,ACADÊMICO,SUDESTE,NA,NÃO
2015,33004064020P0,FISIOPATOLOGIA EM CLÍNICA MÉDICA,PATHOPHYSIOLOGY IN INTERNAL MEDICINE,UNESP/BOT,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BOTUCATU,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS DA SAÚDE,MEDICINA,MEDICINA I,MESTRADO/DOUTORADO,SP,BOTUCATU,5,1981,ACADÊMICO,SUDESTE,NA,NÃO
2015,33004064021P7,AGRONOMIA (ENERGIA NA AGRICULTURA),ENERGY IN AGRICULTURE,UNESP/BOT,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BOTUCATU,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS AGRÁRIAS,AGRONOMIA,CIÊNCIAS AGRÁRIAS I,MESTRADO/DOUTORADO,SP,BOTUCATU,4,1982,ACADÊMICO,SUDESTE,NA,NÃO
2015,33004064022P3,MEDICINA VETERINÁRIA,VETERINARY MEDICINE,UNESP/BOT,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BOTUCATU,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,MESTRADO/DOUTORADO,SP,BOTUCATU,5,1981,ACADÊMICO,SUDESTE,NA,NÃO
2015,33056013012P2,PRODUÇÃO ANIMAL,PROFESSIONAL MASTER'S IN ANIMAL PRODUCTION,UNICASTELO,UNIVERSIDADE CAMILO CASTELO BRANCO,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,ZOOTECNIA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO PROFISSIONAL,SP,SÃO JOSÉ DOS CAMPOS,3,2008,PROFISSIONAL,SUDESTE,NA,NÃO
